app_http_response_code,app_request_latency_ms,app_throughput_kbps,node_cpu_seconds_total,node_load_1m,node_load_5m,node_load_15m,node_memory_MemTotal_bytes,node_memory_MemAvailable_bytes,node_swap_utilization,node_disk_read_bytes_total,node_disk_written_bytes_total,node_disk_reads_completed_total,node_disk_read_time_seconds_total,node_network_receive_bytes_total,node_network_transmit_bytes_total,node_network_dropped_packets,node_network_transmit_errors,container_cpu_usage_seconds_total,container_memory_working_set_bytes,container_fs_usage_bytes,container_rx_bytes,container_tx_bytes,kube_pod_container_status_restarts_total,pod_ready_status,pod_scheduling_latency_ms,os_cpu_time,os_cpu_util_percentage,os_memory_usage_mb,os_memory_resident_mb,os_disk_read_bytes_rate,os_disk_write_bytes_rate,os_disk_read_requests_rate,os_disk_write_requests_rate,os_network_incoming_bytes_rate,os_network_outgoing_bytes_rate,os_network_packet_drop_rate,os_hypervisor_vcpus_total,os_hypervisor_vcpus_used,os_hypervisor_memory_mb_total,os_hypervisor_memory_mb_used,os_hypervisor_local_gb_total,os_hypervisor_local_gb_used,os_api_response_latency_ms,os_rabbitmq_queue_depth,os_haproxy_connections,mist_time_to_connect_ms,mist_coverage_score,mist_capacity_score,mist_roaming_score,mist_ap_cpu_utilization,mist_ap_memory_utilization,mist_ap_uptime_seconds,mist_ap_temperature_c,mist_channel_utilization_24ghz,mist_channel_utilization_5ghz,mist_channel_utilization_6ghz,mist_noise_floor_dbm,mist_rf_retries_percent,mist_client_rssi,mist_client_snr,mist_client_tx_bytes,mist_client_rx_bytes,mist_client_throughput_kbps,mist_client_connection_state,Root_Cause_Fault_Label
200,105.8142,11024.7815,10216.3713,2.2299,1.9193,1.7113,16720404480,6691581365.6505,0.0002,6844040389.725,1747196120.8209,113103.4261,4949.9733,1015416460.7171,550507378.528,0.3667,0.1521,1666.5784,245267494.2942,9999449.6441,274690.5801,277069.443,0,1,28.2351,5934.0138,39.5663,10028.3945,14588.747,9859.6113,187231.7194,821.9999,15602.9511,323074.0084,326036.5043,0.0934,64,16,128000,10028.3945,1000,283.3503,46.9566,0.0672,54.4386,568.3657,98.784,96.1724,97.072,20.3157,41.9275,86400,45.6995,12.3731,22.6576,5.7589,-94.7255,5.1643,-60.6477,35.9324,1491648.6493,24937465.4346,12208.6773,1,No_Fault
200,104.1916,10906.2692,10236.16,2.0908,1.9499,1.5839,16720404480,6719672975.4651,0.0004,6844281649.1766,1752042932.7157,113567.8043,4973.8948,1015395213.8967,550532557.263,0.3962,0.1787,1871.707,246621790.0443,10000273.225,272882.3959,279390.7786,0,1,28.3568,6134.6986,40.9371,10000.4573,14541.6928,10095.9845,191966.0732,841.3548,15997.6027,320976.3929,328657.995,0.132,64,16,128000,10000.4573,1000,282.2461,48.3441,0.832,51.4295,553.7281,98.9144,95.2005,97.8602,21.0392,43.0113,86415,46.6901,12.5194,22.0804,5.998,-92.063,5.1179,-57.2286,37.0062,1502993.2098,25021756.5817,12201.4345,1,No_Fault
200,100.6661,11502.238,10262.2214,2.3442,2.1946,1.9137,16720404480,6741118788.9341,0.0077,6844047761.1068,1747495430.721,113112.0399,4952.9396,1015396214.8947,550460064.5392,0.5289,0.0955,1968.7024,243824526.3136,9999299.7728,272964.9544,273188.6303,0,1,24.0387,6242.4488,41.5759,9979.2205,14455.7039,9867.5738,187524.035,822.6071,15627.8996,321022.8711,321380.5208,0.0977,64,18,128000,9979.2205,1000,275.7078,48.9805,1.2405,52.9793,542.3865,98.6944,94.938,97.9034,20.409,42.1973,86430,46.1205,12.7188,22.8251,5.736,-95.8211,4.9191,-57.889,34.1255,1506511.9419,24956267.4943,12639.6051,1,No_Fault
200,103.205,11699.7432,10200.5983,2.2246,2.0094,1.6888,16720404480,6766486650.6157,0.0019,6844208171.4229,1750628446.6771,113428.5644,4970.8166,1015417148.8442,550505715.5051,0.1487,0.2341,1958.2322,244326557.1673,9999783.8314,274625.9951,277058.7852,0,1,28.6459,6168.5873,41.0775,9953.9059,14458.56,10023.8451,190584.2491,836.1221,15882.0877,323185.8763,325954.2752,0.1439,64,18,128000,9953.9059,1000,277.68,50.2095,0.2302,50.6095,533.5326,98.8842,95.2979,97.8771,19.9671,40.5452,86445,46.7949,11.5851,22.0366,5.6991,-93.3226,4.5645,-58.8728,36.1316,1491814.8666,24971443.2341,12929.1629,1,No_Fault
200,107.5693,11270.684,10168.6781,2.0335,1.7987,1.7188,16720404480,6779610575.4882,0.0091,6844427189.6542,1754503320.1318,113851.8017,4990.1436,1015490725.6145,550496731.8203,0.565,0.1913,2152.3492,243682415.9294,9999331.9514,280952.8273,276161.0305,0,1,24.1103,6251.2999,41.6406,9940.3354,14429.4521,10238.0466,194368.5717,853.7649,16197.6643,330543.0739,324898.7237,0.1307,64,18,128000,9940.3354,1000,280.038,49.1917,0.3524,59.1091,570.6159,98.8115,95.4125,97.5573,19.9921,41.9595,86460,46.3017,11.2155,22.2628,5.5777,-94.3836,5.2706,-58.8819,34.3755,1496315.6318,25071002.2993,12478.3671,1,No_Fault
200,101.4203,11563.538,10265.2913,2.3456,2.1021,1.8369,16720404480,6794748337.2524,0.004,6844492279.2899,1756018902.0448,113980.6941,4995.3191,1015478124.8166,550542745.2803,0.5977,0.1917,2143.3116,241781537.2368,10000027.3448,279787.6789,280075.0896,0,1,27.8107,6178.923,41.1615,9925.2308,14501.5021,10301.9814,195848.0624,859.3225,16321.395,329263.577,329598.3023,0.0989,64,16,128000,9925.2308,1000,282.0609,50.2891,0.1483,53.4841,527.2476,98.8092,95.873,97.9193,20.0052,42.5989,86475,46.7207,11.4707,22.2894,5.9,-93.4604,4.7537,-55.8762,35.1081,1496446.1233,24917460.06,12862.0191,1,No_Fault
200,101.9109,11368.5739,10150.6025,1.955,1.8229,1.5864,16720404480,6807397741.3386,0.0081,6844640494.6152,1758620451.524,114277.2726,5011.955,1015432750.7663,550463379.3711,0.2672,0.1356,2252.2807,239024720.321,9999254.8941,276046.9711,273428.8373,0,1,25.7023,5968.954,39.8506,9912.5343,14432.2417,10446.5753,198388.6121,870.6765,16532.8262,324672.9333,321590.5168,0.1417,64,17,128000,9912.5343,1000,279.8051,48.2326,1.1222,57.0191,558.5797,98.5766,95.7722,97.2996,20.4057,40.2944,86490,46.1625,12.5766,21.1741,5.5481,-94.1168,5.0008,-56.2612,36.8694,1507718.3421,25010434.9404,12602.3178,1,No_Fault
200,102.7408,11776.2841,10193.7048,1.9585,1.7637,1.4735,16720404480,6840182078.7905,0.0018,6844727658.8307,1760489461.7547,114438.7294,5018.6262,1015392385.4797,550467635.7709,0.3127,0.1107,2069.0471,241008843.1731,10000006.7989,272626.1094,273774.5625,0,1,24.4446,6114.8221,40.7375,9880.1019,14377.7329,10531.0999,200214.0251,877.7985,16685.4548,320720.5938,322072.793,0.1451,64,17,128000,9880.1019,1000,277.1104,47.6044,0.4517,55.0057,530.0045,98.5174,96.5556,97.9643,20.8731,40.555,86505,46.6112,12.3849,21.3101,5.5128,-94.4382,4.6074,-60.9095,35.5985,1493433.208,24954739.1369,12915.7467,1,No_Fault
200,102.0695,11282.8021,10192.6361,2.2469,2.1135,1.7196,16720404480,6815539956.9975,0.0052,6844675236.9165,1759582894.0614,114340.377,5014.3623,1015417398.5484,550515601.0649,0.1372,0.19,1942.7923,237121212.8726,10000934.6036,274680.2603,277999.965,0,1,27.3707,6294.9508,41.9388,9904.589,14410.1401,10480.319,199329.3904,874.3407,16611.1095,323189.3431,326964.0488,0.1186,64,18,128000,9904.589,1000,283.7783,47.3663,1.4229,55.4377,539.0356,98.8458,96.4647,97.1018,21.7815,43.0067,86520,47.2732,11.4916,21.6766,6.237,-92.7108,4.8028,-60.7383,37.9926,1508621.4026,24979711.8356,12586.5752,1,No_Fault
200,108.882,10965.1342,10213.7576,2.1126,1.8454,1.5906,16720404480,6845238550.5214,0.0014,6844658570.0567,1759050403.9614,114306.6568,5014.9877,1015452629.4227,550517611.1644,0.247,0.2532,2034.7603,238484392.6313,10000457.1574,277755.5256,278050.3454,0,1,23.8478,6453.7998,42.9765,9875.1212,14429.2285,10464.8463,198809.3522,872.4905,16567.8584,326732.6884,327039.8264,0.1351,64,17,128000,9875.1212,1000,284.641,50.7054,0.5328,57.7883,554.8232,98.6394,95.5171,97.7552,21.6754,43.205,86535,47.3089,12.1393,22.7069,6.2103,-94.3176,4.9328,-55.2512,36.7926,1490435.58,25077868.4065,12138.8041,1,No_Fault
